NO,RGN_SORT,ENG_CLSF,USE_CLSF,YR_2019,YR_2018,YR_2017,YR_2016,YR_2015,UNIT
256,대전,정제연료유,사업용,-,-,-,-,-,MWh
257,대전,연료전지,사업용,"2,942 ",-,-,-,-,MWh
258,대전,연료전지,자가용,539 ,416 ,375 ,282 ,202 ,MWh
259,대전,IGCC,사업용,-,-,-,-,-,MWh
260,울산,신재생에너지 총발전량,사업용,"514,579 ","594,152 ","550,614 ","302,567 ","266,615 ",MWh
261,울산,신재생에너지 총발전량,자가용,"609,190 ","729,490 ","561,514 ","584,752 ","363,185 ",MWh
262,울산,태양광,사업용,"47,753 ","36,745 ","21,206 ","11,455 ","9,649 ",MWh
263,울산,태양광,자가용,"25,661 ","21,261 ","17,836 ","12,983 ","12,283 ",MWh
264,울산,풍력,사업용,"2,275 ","2,462 ","2,281 ","2,596 ","2,091 ",MWh
265,울산,풍력,자가용,12 ,14 ,13 ,12 ,12 ,MWh
266,울산,수력,사업용,"1,323 ",877 ,935 ,912 ,"1,779 ",MWh
267,울산,수력,자가용,-,-,-,-,-,MWh
268,울산,해양,사업용,-,-,-,-,-,MWh
269,울산,바이오가스,사업용,-,-,-,-,-,MWh
270,울산,바이오가스,자가용,-,-,-,-,-,MWh
271,울산,매립지가스,사업용,-,-,-,-,-,MWh
272,울산,매립지가스,자가용,-,-,-,-,-,MWh
273,울산,우드칩,사업용,-,-,-,-,-,MWh
274,울산,우드칩,자가용,-,-,-,-,-,MWh
275,울산,목재펠릿,사업용,-,-,-,-,-,MWh
276,울산,목재펠릿,자가용,-,-,-,-,-,MWh
277,울산,폐목재,사업용,-,-,-,-,-,MWh
278,울산,폐목재,자가용,-,-,-,-,-,MWh
279,울산,흑액,자가용,"277,640 ","256,667 ","259,643 ","259,219 ","263,411 ",MWh
280,울산,하수슬러지고형연료,사업용,-,-,-,-,-,MWh
281,울산,Bio-SRF,사업용,-,-,-,-,-,MWh
282,울산,Bio-SRF,자가용,-,-,-,-,-,MWh
283,울산,바이오중유,사업용,"445,915 ","528,201 ","499,180 ","261,070 ","194,469 ",MWh
284,울산,폐가스,사업용,-,-,-,-,"33,657 ",MWh
285,울산,폐가스,자가용,"298,505 ","439,603 ","280,200 ","307,579 ","82,600 ",MWh
286,울산,산업폐기물,사업용,-,-,-,-,-,MWh
287,울산,산업폐기물,자가용,-,-,-,-,-,MWh
288,울산,생활폐기물,사업용,-,-,-,-,-,MWh
289,울산,생활폐기물,자가용,"5,285 ","9,942 ","1,778 ","3,039 ","3,054 ",MWh
290,울산,SRF,사업용,"7,568 ","11,179 ","5,353 ","5,713 ",202 ,MWh
291,울산,SRF,자가용,-,-,-,-,-,MWh
292,울산,시멘트킬른보조연료,자가용,-,-,-,-,-,MWh
293,울산,정제연료유,사업용,-,-,"3,047 ","4,019 ","3,708 ",MWh
