animals,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
A3120,HD,NL	: 	: 	9353 	9271 	8418 	8102 	6224 	6060 	6010 	5629 	5350 
A3120,HD,NO	: 	: 	413 	372 	469 	489 	273 	197 	332 	277 	269 
A3120,HD,PL	: 	: 	316 	533 	254 	252 	342 	393 	855 	1671 	1420 
A3120,HD,PT	: 	: 	856 	554 	1188 	678 	343 	: 	: 	: 	: 
A3120,HD,RO	: 	: 	0 	0 	0 	3 	7 	14 	33 	77 	42 
A3120,HD,RS	: 	: 	0 	2 	2 	2 	0 	0 	: 	0 	: 
A3120,HD,SE	: 	: 	3248 	3570 	3500 	3265 	3042 	2729 	1904 	1996 	1792 
A3120,HD,SI	: 	: 	313 	347 	397 	351 	335 	356 	226 	203 	166 
A3120,HD,SK	: 	: 	120 	44 	38 	14 	33 	30 	20 	38 	17 
A3120,HD,TR	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A3120,HD,UK	: 	: 	: 	3416 	3807 	5224 	4290 	3389 	3881 	4027 	5942 
A3130,HD,AT	: 	: 	39892 	35922 	35663 	35704 	29568 	37786 	32541 	: 	: 
A3130,HD,BE	: 	: 	12497 	1183 	1467 	3526 	309 	583 	24 	: 	: 
A3130,HD,BG	: 	: 	57 	0 	0 	0 	1 	1 	0 	0 	0 
A3130,HD,CH	: 	: 	14203 	15028 	14193 	12644 	11064 	10218 	12489 	10309 	10214 
A3130,HD,CY	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A3130,HD,CZ	: 	: 	331 	320 	384 	316 	244 	240 	229 	194 	41 
A3130,HD,DE	: 	: 	190349 	: 	: 	: 	: 	: 	: 	: 	: 
A3130,HD,DK	: 	: 	242369 	246235 	248376 	196104 	136806 	133199 	87339 	98531 	107879 
A3130,HD,EE	: 	: 	100 	55 	4 	5 	7 	40 	21 	309 	20 
A3130,HD,EL	: 	: 	1701 	1774 	1513 	1531 	1728 	1730 	1884 	1567 	2467 
A3130,HD,ES	: 	: 	41 	35 	115 	115 	115 	7 	63 	57 	29 
A3130,HD,FI	: 	: 	30 	13 	35 	14 	31 	31 	20 	224 	15 
A3130,HD,FR	: 	: 	168896 e	208353 e	133259 	110695 	100091 	88931 	82148 	76784 	69850 
A3130,HD,HR	: 	: 	192 	1599 	648 	562 	452 	390 	252 	296 	453 
A3130,HD,HU	: 	: 	1008 	1966 	1475 	1658 	1682 	171 	1211 	3546 	2407 
A3130,HD,IE	: 	: 	231 	173 	235 	438 	198 	185 	175 	67 	145 
A3130,HD,IS	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A3130,HD,IT	: 	: 	8821 	: 	25764 	30076 	10294 	7775 	9632 	10307 	4798 
A3130,HD,LT	: 	: 	3 	1 	1 	2 	2 	8 	14 	32 	11 
A3130,HD,LU	: 	: 	464 	336 	288 	210 	329 	358 	393 	370 	487 
A3130,HD,LV	: 	: 	618 	553 	494 	754 	737 	796 	1007 	1263 	1318 
A3130,HD,ME	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A3130,HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A3130,HD,MT	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A3130,HD,NL	: 	: 	42246 	43254 	36723 	33860 	28211 	28689 	27324 	25475 	24220 
A3130,HD,NO	: 	: 	851 	823 	843 	1315 	548 	473 	837 	699 	765 
A3130,HD,PL	: 	: 	1646 	1078 	1207 	1806 	1480 	2585 	4122 	3124 	: 
A3130,HD,PT	: 	: 	1180 	2197 	908 	383 	269 	: 	: 	: 	: 
A3130,HD,RO	: 	: 	14 	9 	9 	0 	0 	29 	75 	56 	90 
A3130,HD,RS	: 	: 	0 	47 	35 	80 	215 	100 	: 	57 	: 
A3130,HD,SE	: 	: 	17212 	17653 	15926 	15583 b	6508 	6554 	4680 	5032 	: 
A3130,HD,SI	: 	: 	2679 	2905 	2806 	3442 	918 	728 	1425 	1309 	1219 
